matricula,nome_aluno,endereco,telefone,ano_ingresso,semestre_ingresso,data_nascimento
2023001,Ana Silva,Rua das Flores 123,(53) 99123-4567,2023,1,15/05/2004
2023002,Bruno Costa,Av. Bento Gonçalves 456,(53) 99124-5678,2023,1,22/08/2003
2023003,Carla Dias,Rua XV de Novembro 789,(53) 99125-6789,2023,2,10/11/2005
2023004,Daniel Moreira,Rua General Osório 101,(53) 99126-7890,2023,2,03/02/2004
2024001,Elisa Fernandes,Av. Dom Joaquim 202,(53) 99127-8901,2024,1,19/07/2006
2024002,Fábio Guedes,Rua Andrade Neves 303,(53) 99128-9012,2024,1,28/04/2005
2024003,Gabriela Lima,Rua Marechal Deodoro 404,(53) 99129-0123,2024,1,05/12/2006
2024004,Helio Martins,Rua Santos Dumont 505,(53) 99130-1234,2024,2,14/09/2005
2024005,Isabela Rocha,Rua Lobo da Costa 606,(53) 99131-2345,2024,2,30/01/2006
2024006,João Pereira,Av. Ferreira Viana 707,(53) 99132-3456,2024,2,11/06/2005
2022001,Laura Nogueira,Rua Sete de Setembro 808,(53) 99133-4567,2022,1,07/03/2003
2022002,Marcos Azevedo,Rua Três de Maio 909,(53) 99134-5678,2022,2,25/10/2002
